name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Romania,0,57.1,54.5,35.3,13,42.3,16.2,51.2,26.2,12.2,25,15.7,9.8,3.4,16.6,11.9,11.7,12.7,8.9,7.8,8.6,4.7,6,6,5.4,4.8,2.4,7.1,6,4.2,5.2,4,4,6,3,3.6,3.4,4.5,3.5,,,,,,,,,,,,,,,,,,
Russia,0,12.5,88.9,41.2,25,13.3,26.5,4.7,4.4,23.4,8.6,20.6,23.7,12.8,22.6,13.8,14.9,16.5,17.2,17.7,14.7,15.3,12.2,12.6,12.5,8.2,10.8,10.7,9.7,6.3,9.2,12.1,10.4,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,0,25,60,31.3,19,16,17.2,11.8,7.9,0,7.3,6.8,10.6,13.5,10.2,12.3,8.2,5.1,4.8,5.7,5.4,6.2,5.8,4.6,6.1,5,7.1,2.2,3.6,5.6,3.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,0,14.3,25,30,23.1,43.8,21.7,10.7,25.8,12.8,15.9,13.7,5.2,6.6,1.5,7.6,4.2,8.1,6.3,10.6,5.3,4,6.8,6.4,4.3,2.5,0,0,0,0,0,0,0,0,0,43.2,,,,,,,,,,,,,,,,,,,,,
Spain,0,70,64.7,25,54.3,55.6,58.3,46.6,48.2,18.3,55.8,16.9,33.2,25.7,31.8,28.9,30.4,21.5,29.9,19.7,17.7,16.4,13.7,13.4,9.7,10.9,10.2,8.2,6.7,5.8,5.5,5.3,5.3,4.4,4.1,3.3,3.6,3.2,1.7,3.6,3.2,3.6,0.2,2,2,2.1,2,2,1.7,1.7,1.3,1.4,1.3,1.9,1.1,,
Sweden,0,14.3,25,10,45.5,25,5,28.6,48.1,55,24.2,36.4,0,4.8,32.7,23.3,32.8,28.9,16.2,4.2,7.5,19,23.9,16.2,15.4,9.7,2,1.4,2.2,12.4,16.5,10.8,5,7.9,1.9,2.6,11.7,9.7,4.3,6.5,1.9,0.1,3.6,3.6,4.5,5,,,,,,,,,,,
Switzerland,0,57.1,18.2,7.7,35.7,42.1,22.2,30.3,30.2,42.9,22.5,22.4,1.7,25.4,24.8,20.9,14.3,13.6,19.7,20.6,12.7,9.8,10.3,12.7,7.4,7,7.3,9,5.9,5.7,3.4,6.8,2.9,3.2,5.5,3.4,3.6,3.1,1.8,2.6,3.4,2.1,2.7,2.6,0.6,0.7,3.4,2,1,1.2,,,,,,,
Turkey,0,133.3,42.9,23.3,18.9,34.1,27.1,22.7,17.4,21.3,28.2,27.4,29.4,28.5,19.4,17.9,14.6,13.1,11.7,12,11.8,10.8,9.4,8.8,8.2,8.3,8.2,8.2,7.7,6.8,6.7,6.1,5.6,5.2,4.8,4.4,4.1,3.7,3.4,3.2,3,3,,,,,,,,,,,,,,,
Ukraine,0,11.1,30,30.8,17.6,10,22.7,18.5,15.6,2.7,18.4,15.6,9.6,21.1,5.8,13.7,12,5.4,10.2,7.4,7.8,6.4,6,7.1,6.6,8.1,7.5,7.5,0,4,5.3,8.6,4.6,4.4,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,0,33.3,25,10,90.9,66.7,57.1,29.1,46.5,38.5,22.9,31.6,20.6,19.2,26,10.2,24.3,31.3,34.3,20.5,14.7,27.1,31.5,24.2,23.4,19.6,14.4,8.9,14.6,15.2,12.4,12.3,10.2,7.5,6.8,6.9,6.3,6.7,6.2,6.1,3.9,2.8,5,4.4,3.5,4.1,4.2,2,1.7,20,3.1,2.6,,,,,
US,0,16.7,57.1,9.1,16.7,21.4,23.5,4.8,27.3,28.6,11.1,17.5,14.9,16.7,34.9,27.1,9.3,69.5,22,25.8,35.8,33.6,26.8,33.4,28.3,30.8,28.1,21.8,20.7,30.1,22.8,24.6,19.6,18.6,14.4,12.1,18,15.5,12.6,12.3,10.1,7.6,6.9,9.8,9.7,16.2,11.7,5.1,5.2,3.5,5.6,4.9,7.1,4,3.5,2.1,2.5
US-New York City,0,90.9,52.4,78.1,47.4,59.5,34.3,28.9,41.4,32,32.3,39.3,31.6,31.1,25.6,23.1,21.7,20.3,20.5,17.2,15.4,14.3,13.6,12.3,9.9,8.9,7.9,7.1,7,6.6,5.5,4.3,4.1,3.4,3.4,3.1,2.9,2.4,2.2,1.9,0.2,5.8,0.9,1.4,1,2.2,0,,,,,,,,,,
